,tempo,valence
988,95.0,0.31
989,177.0,0.64
990,97.0,0.66
991,96.0,0.67
992,174.0,0.5
993,130.0,0.82
994,126.0,0.66
995,130.0,0.66
996,143.0,0.79
997,143.0,0.56
998,113.0,0.43
999,175.0,0.62
1000,150.0,0.63
1001,140.0,0.47
1002,140.0,0.41
1003,139.0,0.38
1004,136.0,0.58
1005,130.0,0.76
1006,138.0,0.29
1007,138.0,0.71
1008,140.0,0.64
1009,140.0,0.88
1010,140.0,0.68
1011,140.0,0.36
1012,125.0,0.31
1013,144.0,0.66
1014,83.0,0.68
1015,140.0,0.85
1016,87.0,0.37
1017,140.0,0.36
1018,147.0,0.73
1019,107.0,0.82
1020,144.0,0.27
1021,92.0,0.65
1022,89.0,0.64
1023,89.0,0.46
1024,105.0,0.5
1025,150.0,0.57
1026,84.0,0.69
1027,84.0,0.8
1028,120.0,0.56
1029,82.0,0.7
1030,176.0,0.31
1031,73.0,0.7
1032,113.0,0.48
1033,115.0,0.67
1034,90.0,0.53
1035,152.0,0.44
1036,142.0,0.55
1037,152.0,0.2
1038,156.0,0.52
1039,84.0,0.29
1040,160.0,0.96
1041,81.0,0.69
1042,103.0,0.47
1043,92.0,0.44
1044,75.0,0.42
1045,146.0,0.48
1046,168.0,0.69
1047,160.0,0.51
1048,172.0,0.43
1049,156.0,0.52
1050,126.0,0.68
1051,150.0,0.54
1052,170.0,0.46
1053,148.0,0.38
1054,91.0,0.58
1055,152.0,0.95
1056,80.0,0.76
1057,160.0,0.47
1058,134.0,0.31
1059,186.0,0.63
1060,144.0,0.47
1061,90.0,0.53
1062,136.0,0.52
1063,99.0,0.62
1064,160.0,0.63
1065,79.0,0.3
1066,160.0,0.71
1067,75.0,0.64
1068,156.0,0.6
1069,170.0,0.55
1070,115.0,0.56
1071,184.0,0.59
1072,156.0,0.49
1073,102.0,0.65
1074,129.0,0.29
1075,172.0,0.93
1076,97.0,0.34
1077,132.0,0.76
1078,89.0,0.83
1079,94.0,0.73
1080,91.0,0.64
1081,105.0,0.47
1082,180.0,0.75
1083,92.0,0.75
1084,144.0,0.42
1085,102.0,0.91
1086,105.0,0.51
1087,93.0,0.92
1088,96.0,0.71
1089,176.0,0.89
1090,170.0,0.77
1091,178.0,0.85
1092,94.0,0.72
1093,90.0,0.45
1094,93.0,0.74
1095,104.0,0.93
1096,176.0,0.78
1097,100.0,0.52
1098,180.0,0.56
1099,93.0,0.64
1100,96.0,0.68
1101,89.0,0.62
1102,92.0,0.82
1103,91.0,0.65
1104,178.0,0.78
1105,92.0,0.83
1106,180.0,0.95
1107,96.0,0.56
1108,176.0,0.83
1109,124.0,0.82
1110,95.0,0.77
1111,176.0,0.79
1112,91.0,0.85
1113,104.0,0.52
1114,92.0,0.51
1115,94.0,0.58
1116,88.0,0.59
1117,88.0,0.87
1118,95.0,0.5
1119,98.0,0.66
1120,176.0,0.94
1121,198.0,0.66
1122,115.0,0.8
1123,93.0,0.48
1124,170.0,0.81
1125,172.0,0.79
1126,95.0,0.92
1127,98.0,0.84
1128,108.0,0.3
1129,162.0,0.69
1130,176.0,0.55
1131,152.0,0.56
1132,108.0,0.53
1133,150.0,0.72
1134,114.0,0.53
1135,100.0,0.38
1136,121.0,0.74
1137,88.0,0.81
1138,168.0,0.25
1139,100.0,0.76
1140,122.0,0.96
1141,132.0,0.12
1142,100.0,0.54
1143,90.0,0.64
1144,100.0,0.48
1145,103.0,0.38
1146,140.0,0.39
1147,101.0,0.54
1148,100.0,0.36
1149,121.0,0.73
1150,110.0,0.48
1151,113.0,0.61
1152,86.0,0.87
1153,140.0,0.36
1154,168.0,0.55
1155,87.0,0.12
1156,92.0,0.67
1157,102.0,0.44
1158,83.0,0.68
1159,123.0,0.47
1160,150.0,0.54
1161,98.0,0.75
1162,150.0,0.42
1163,111.0,0.16
1164,98.0,0.78
1165,135.0,0.57
1166,102.0,0.52
1167,96.0,0.1
1168,100.0,0.5
1169,104.0,0.54
1170,100.0,0.16
1171,120.0,0.61
1172,95.0,0.58
1173,150.0,0.29
1174,106.0,0.54
1175,120.0,0.21
1176,170.0,0.24
1177,114.0,0.45
1178,134.0,0.85
1179,96.0,0.37
1180,121.0,0.51
1181,80.0,0.32
1182,138.0,0.19
1183,112.0,0.37
1184,96.0,0.93
1185,127.0,0.44
1186,125.0,0.68
1187,148.0,0.45
1188,124.0,0.72
1189,90.0,0.79
1190,127.0,0.45
1191,120.0,0.82
1192,82.0,0.3
1193,93.0,0.38
1194,82.0,0.63
1195,160.0,0.47
1196,165.0,0.72
1197,136.0,0.54
1198,130.0,0.79
1199,102.0,0.77
1200,126.0,0.25
1201,152.0,0.77
1202,146.0,0.7
1203,95.0,0.56
1204,110.0,0.6
1205,120.0,0.72
1206,117.0,0.88
1207,129.0,0.44
1208,130.0,0.8
1209,105.0,0.76
1210,120.0,0.85
1211,120.0,0.75
1212,174.0,0.56
1213,122.0,0.47
1214,100.0,0.1
1215,116.0,0.86
1216,134.0,0.28
1217,94.0,0.73
1218,162.0,0.58
1219,75.0,0.73
1220,128.0,0.79
1221,85.0,0.43
1222,145.0,0.42
1223,122.0,0.29
1224,123.0,0.56
1225,120.0,0.82
1226,74.0,0.26
1227,130.0,0.74
1228,112.0,0.78
1229,98.0,0.49
1230,142.0,0.38
1231,111.0,0.26
1232,111.0,0.13
1233,85.0,0.48
1234,155.0,0.19
1235,79.0,0.42
1236,78.0,0.38
1237,147.0,0.18
1238,134.0,0.29
1239,154.0,0.6
1240,128.0,0.24
1241,138.0,0.27
1242,93.0,0.26
1243,104.0,0.64
1244,76.0,0.3
1245,154.0,0.41
1246,108.0,0.1
1247,134.0,0.31
1248,158.0,0.13
1249,156.0,0.24
1250,94.0,0.33
1251,100.0,0.51
1252,132.0,0.22
1253,85.0,0.21
1254,156.0,0.15
1255,148.0,0.33
